178.154.243.100 - [24/Jul/2025:03:49:52 +0000] "POST /info.php HTTP/1.1" 200 146 "http://frontendreverseproxy-easytrade/login" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_3) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/35.0.804.0 Safari/531.1"
34.201.32.172 - [24/Jul/2025:03:50:04 +0000] "GET /broker-service/v1/balance/10 HTTP/1.1" 200 51 "http://frontendreverseproxy-easytrade/instruments/1" "Opera/9.26.(Windows NT 10.0; ht-HT) Presto/2.9.182 Version/10.00"
52.90.120.45 - [24/Jul/2025:03:50:26 +0000] "GET /feature-flag-service/v1/flags?tag=problem_pattern HTTP/1.1" 200 1440 "http://frontendreverseproxy-easytrade/" "Opera/8.13.(Windows 98; ff-SN) Presto/2.9.162 Version/12.00"
3.91.157.123 - [24/Jul/2025:03:51:09 +0000] "GET /feature-flag-service/v1/flags?tag=problem_pattern HTTP/1.1" 200 1440 "http://frontendreverseproxy-easytrade/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.0)"
34.201.32.172 - [24/Jul/2025:03:51:33 +0000] "GET /accountservice/api/accounts/73 HTTP/1.1" 200 425 "http://frontendreverseproxy-easytrade/login" "Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.1)"
54.221.202.45 - [24/Jul/2025:03:51:41 +0000] "GET /accountservice/api/accounts/62 HTTP/1.1" 200 424 "http://frontendreverseproxy-easytrade/login" "Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0)"
54.221.202.45 - [24/Jul/2025:03:51:59 +0000] "GET /pricing-service/v1/prices/instrument/5?records=1440 HTTP/1.1" 200 286360 "http://frontendreverseproxy-easytrade/instruments" "Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0)"
3.91.157.123 - [24/Jul/2025:03:52:01 +0000] "GET /favicon.ico HTTP/1.1" 200 436 "http://frontendreverseproxy-easytrade/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.0)"
54.221.202.45 - [24/Jul/2025:03:52:18 +0000] "GET /pricing-service/v1/prices/instrument/10?records=1440 HTTP/1.1" 200 287825 "http://frontendreverseproxy-easytrade/instruments" "Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.0)"
52.90.120.45 - [24/Jul/2025:03:52:43 +0000] "GET /broker-service/v1/balance/59 HTTP/1.1" 200 51 "http://frontendreverseproxy-easytrade/home" "Opera/9.63.(X11; Linux x86_64; kw-GB) Presto/2.9.176 Version/10.00"
54.221.202.45 - [24/Jul/2025:03:52:48 +0000] "POST /loginservice/api/Login HTTP/1.1" 200 146 "http://frontendreverseproxy-easytrade/login" "Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.19.7 (KHTML, like Gecko) Version/4.0.3 Safari/532.19.7"
